EcoCar Motors Log
16:26:9
millis, motor1 Speed, motor2 Speed, motor1 Current, motor2 Current, Buck DCDC Voltage, Power, Direction, Cruise
24018,0,0,60,5098,36,false,false,false

24035,0,0,60,5098,36,false,false,false

24055,0,0,60,5098,36,false,false,false

24074,0,0,60,5098,36,false,false,false

24094,0,0,60,5098,36,false,false,false

24115,0,0,60,5098,36,false,false,false

24134,0,0,60,5098,36,false,false,false

24151,0,0,60,5098,36,false,false,false

24170,0,0,60,5098,36,false,false,false

24187,0,0,60,5098,36,false,false,false

24206,0,0,60,5098,36,false,false,false

24225,0,0,60,5098,36,false,false,false

24246,0,0,60,5098,36,false,false,false

24268,0,0,60,5098,36,false,false,false

24287,0,0,60,5098,36,false,false,false

24306,0,0,60,5098,36,false,false,false

24325,0,0,60,5098,36,false,false,false

24345,0,0,60,5098,36,false,false,false

24363,0,0,60,5098,36,false,false,false

24382,0,0,60,5098,36,false,false,false

24401,0,0,60,5098,36,false,false,false

24418,0,0,60,5098,36,false,false,false

24435,0,0,60,5098,36,false,false,false

24453,0,0,60,5098,36,false,false,false

24472,0,0,60,5098,36,false,false,false

24492,0,0,60,5098,36,false,false,false

24510,0,0,60,5098,36,false,false,false

24526,0,0,60,5098,36,false,false,false

24547,0,0,60,5098,36,false,false,false

24567,0,0,60,5098,0,false,false,false

24589,0,0,60,5098,25,false,false,false

24609,0,0,60,5098,36,false,false,false

24630,0,0,60,5098,36,false,false,false

24649,0,0,60,5098,36,false,false,false

24668,0,0,60,5098,36,false,false,false

24686,0,0,60,5098,36,false,false,false

24706,0,0,60,5098,36,false,false,false

24726,0,0,65535,5098,36,false,false,false

24743,0,0,255,5098,36,false,false,false

24759,0,0,58,5098,36,false,false,false

24776,0,0,58,5098,36,false,false,false

24793,0,0,58,58,36,false,false,false

24813,0,0,58,4922,36,false,false,false

24835,0,0,58,5103,36,false,false,false

24857,0,0,58,5103,36,false,false,false

24873,5103,0,58,5103,36,false,false,false

24892,239,0,58,5103,36,false,false,false

24914,0,0,58,5103,36,false,false,false

24934,0,0,58,5103,36,false,false,false

24952,0,0,58,5103,36,false,false,false

24973,0,0,58,5103,36,false,false,false

24993,0,0,58,5103,36,false,false,false

25009,0,0,58,5103,36,false,false,false

25029,0,0,58,5103,36,false,false,false

25046,0,0,58,5103,36,false,false,false

25064,0,0,58,5103,36,false,false,false

25084,0,0,58,5103,36,false,false,false

25103,0,0,58,5103,36,false,false,false

25124,0,0,58,5103,36,false,false,false

25143,0,0,58,5103,36,false,false,false

25163,0,0,58,5103,36,false,false,false

25182,0,0,58,5103,36,false,false,false

25202,0,0,58,5103,36,false,false,false

25226,0,0,58,5103,36,false,false,false

25248,0,0,58,5103,36,false,false,false

25267,0,0,58,5103,36,false,false,false

25284,0,0,58,5103,36,false,false,false

25302,0,0,58,5103,36,false,false,false

25323,0,0,58,5103,36,false,false,false

25341,0,0,58,5103,36,false,false,false

25360,0,0,58,5103,36,false,false,false

25378,0,0,58,5103,36,false,false,false

25395,0,0,58,5103,36,false,false,false

25414,0,0,58,5103,36,false,false,false

25433,0,0,58,5103,36,false,false,false

25456,0,0,58,5103,36,false,false,false

25475,0,0,58,5103,36,false,false,false

25493,0,0,58,5103,36,false,false,false

25514,0,0,58,5103,36,false,false,false

25536,0,0,58,5103,36,false,false,false

25555,0,0,58,5103,36,false,false,false

25574,0,0,58,5103,36,false,false,false

25596,0,0,58,5103,36,false,false,false

25614,0,0,58,5103,36,false,false,false

25637,0,0,58,5103,36,false,false,false

25660,0,0,58,5103,36,false,false,false

25683,0,0,58,5103,36,false,false,false

25703,0,0,58,5103,36,false,false,false

25724,0,0,58,5103,36,false,false,false

25746,0,0,58,5103,36,false,false,false

25763,0,0,58,5103,36,false,false,false

25784,0,0,58,5103,36,false,false,false

25803,0,0,58,5103,36,false,false,false

25823,0,0,58,5103,36,false,false,false

25842,0,0,58,5103,36,false,false,false

25859,0,0,58,5103,36,false,false,false

25879,0,0,58,5103,36,false,false,false

25896,0,0,58,5103,36,false,false,false

25913,0,0,58,5103,36,false,false,false

25930,0,0,58,5103,36,false,false,false

25949,0,0,58,5103,36,false,false,false

25967,0,0,58,5103,36,false,false,false

25984,0,0,58,5103,36,false,false,false

26002,0,0,58,5103,36,false,false,false

26020,0,0,58,5103,36,false,false,false

26041,0,0,58,5103,36,false,false,false

26059,0,0,58,5103,36,false,false,false

26079,0,0,58,5103,36,false,false,false

26097,0,0,58,5103,36,false,false,false

26115,0,0,58,5103,36,false,false,false

26134,0,0,58,5103,36,false,false,false

26150,0,0,58,5103,36,false,false,false

26166,0,0,58,5103,36,false,false,false

26186,0,0,58,5103,0,false,false,false

26205,0,0,58,5103,25,false,false,false

26225,0,0,58,5103,36,false,false,false

26247,0,0,58,5103,36,false,false,false

26266,0,0,58,5103,36,false,false,false

26284,0,0,58,5103,36,false,false,false

26305,0,0,58,5103,36,false,false,false

26324,0,0,58,5103,36,false,false,false

26349,0,0,65535,5103,36,false,false,false

26369,0,0,255,5103,36,false,false,false

26387,0,0,58,5103,36,false,false,false

26406,0,0,58,5103,36,false,false,false

26423,0,0,58,58,36,false,false,false

26442,0,0,58,4922,36,false,false,false

26464,0,0,58,5102,36,false,false,false

26485,0,0,58,5102,36,false,false,false

26501,5102,0,58,5102,36,false,false,false

26520,238,0,58,5102,36,false,false,false

26540,170,0,58,5102,36,false,false,false

26557,170,0,58,5102,36,false,false,false

26577,170,0,58,5102,36,false,false,false

26596,170,0,58,5102,36,false,false,false

26615,170,0,58,5102,36,false,false,false

26633,170,0,58,5102,36,false,false,false

26651,170,0,58,5102,36,false,false,false

26667,170,0,58,5102,36,false,false,false

26688,170,0,58,5102,36,false,false,false

26706,170,0,58,5102,36,false,false,false

26724,170,0,58,5102,36,false,false,false

26744,170,0,58,5102,36,false,false,false

26764,170,0,58,5102,36,false,false,false

26787,170,0,58,5102,36,false,false,false

26808,170,0,58,5102,36,false,false,false

26829,170,0,58,5102,36,false,false,false

26847,170,0,58,5102,36,false,false,false

26865,170,0,58,5102,36,false,false,false

26886,170,0,58,5102,36,false,false,false

